yaml_file,model_name,scale,task,nc,layers,parameters,gradients,gflops,error
v5/Classify/yolov5-PPLCNet-cls.yaml,yolov5-PPLCNet-cls-n,n,classify,80,76,1213720,1213720,1.2,
11/yolo11_custom.yaml,yolo11_custom-n,n,detect,80,138,444878,444862,1.8,
11/yolo_custom.yaml,yolo_custom-n,n,detect,7,182,767201,767185,2.1,
11/yolo11_custom.yaml,yolo11_custom-s,s,detect,80,138,767064,767048,2.4,
v5/Detect/yolov5-Lite-e.yaml,yolov5-Lite-e-n,n,detect,80,141,454592,454576,2.5,
v5/Detect/yolov5-Lite-s.yaml,yolov5-Lite-s-n,n,detect,80,161,542480,542464,2.5,
v5/OBB/yolov5-Lite-e-obb.yaml,yolov5-Lite-e-obb-n,n,obb,80,156,459545,459529,2.5,
v5/OBB/yolov5-Lite-s-obb.yaml,yolov5-Lite-s-obb-n,n,obb,80,176,547007,546991,2.5,
11/yolo11p.yaml,yolo11p-p,p,detect,80,182,858832,858816,2.6,
v8/Detect/yolov8-ODConvNext.yaml,yolov8-ODConvNext-n,n,detect,1,129,899990,899974,2.8,
v5/Detect/yolov5-Lite-s.yaml,yolov5-Lite-s-t,t,detect,80,161,704972,704956,3,
v5/OBB/yolov5-Lite-s-obb.yaml,yolov5-Lite-s-obb-t,t,obb,80,176,715109,715093,3,
v11/Pose/yolov11-MobileOne-BiFPN-Lite-g-ipose.yaml,yolov11-MobileOne-BiFPN-Lite-g-ipose-n,n,pose,80,290,723615,723599,3.1,
v11/Pose/yolov11-MobileOne-BiFPN-Lite-g-pose.yaml,yolov11-MobileOne-BiFPN-Lite-g-pose-n,n,pose,80,278,722991,722975,3.1,
v5/Detect/yolov5-Lite-e.yaml,yolov5-Lite-e-t,t,detect,80,141,563940,563924,3.1,
v5/OBB/yolov5-Lite-e-obb.yaml,yolov5-Lite-e-obb-t,t,obb,80,156,577593,577577,3.1,
v5/Pose/yolov5-Lite-e-pose.yaml,yolov5-Lite-e-pose-n,n,pose,80,156,566435,566419,3.1,
v5/Pose/yolov5-Lite-s-pose.yaml,yolov5-Lite-s-pose-n,n,pose,80,176,672683,672667,3.1,
v5/Classify/yolov5-AIFI-cls.yaml,yolov5-AIFI-cls-n,n,classify,80,79,1513520,1513520,3.2,
